,,,,,,,09/07/2026,RELATÓRIO ATUALIZADO CEARÁ,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,09/07/2026,,,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,09/07/2026 17:02:13,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,MARCA,LOTE,Column 23
1210,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,410,15868858ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1211,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,410,15868867ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1212,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,410,15868880ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1213,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,410,15868888ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1214,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,380,15868894ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1215,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,350,15868910ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1216,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,417,15868917ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1217,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,410,15868923ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1218,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,410,15868937ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1219,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,410,15868945ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1220,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,467,15868952ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1269,OK,DASS ITAPIPOCA,2,140270,1410857,95364,ATAC. M12183 6MM REFLEX COR 5860/1,115CM,15875047,40,15869240ADS0004595,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,1410857,,10,ADIDAS,135256,
1270,OK,DASS ITAPIPOCA,2,140270,1410857,95364,ATAC. M12183 6MM REFLEX COR 5860/1,115CM,15875047,30,15869255ADS0004595,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,1410857,,10,ADIDAS,135256,
1271,OK,DASS ITAPIPOCA,2,140270,1410857,95364,ATAC. M12183 6MM REFLEX COR 5860/1,115CM,15875047,40,15869264ADS0004595,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,1410857,,10,ADIDAS,135256,
1272,OK,DASS ITAPIPOCA,2,140270,1410857,95364,ATAC. M12183 6MM REFLEX COR 5860/1,125CM,15875047,401,15869240ADS0004595,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,1410857,,10,ADIDAS,135256,
1273,OK,DASS ITAPIPOCA,2,140270,1410857,95364,ATAC. M12183 6MM REFLEX COR 5860/1,125CM,15875047,400,15869255ADS0004595,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,1410857,,10,ADIDAS,135256,
1274,OK,DASS ITAPIPOCA,2,140270,1410857,95364,ATAC. M12183 6MM REFLEX COR 5860/1,125CM,15875047,410,15869264ADS0004595,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,1410857,,10,ADIDAS,135256,
1275,OK,DASS ITAPIPOCA,2,140270,1410857,95364,ATAC. M12183 6MM REFLEX COR 5860/1,130CM,15875047,120,15869240ADS0004595,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,1410857,,10,ADIDAS,135256,
1276,OK,DASS ITAPIPOCA,2,140270,1410857,95364,ATAC. M12183 6MM REFLEX COR 5860/1,130CM,15875047,100,15869255ADS0004595,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,1410857,,10,ADIDAS,135256,
1277,OK,DASS ITAPIPOCA,2,140270,1410857,95364,ATAC. M12183 6MM REFLEX COR 5860/1,130CM,15875047,110,15869264ADS0004595,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,1410857,,10,ADIDAS,135256,
2615,OK,DILLY NORDESTE,225,140554,196338-100,70893,ATAC. M21020 6MM POLIESTER COR 100,100CM,489148,3,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-100,,3,SKECHERS,135329,
2616,OK,DILLY NORDESTE,225,140554,196338-100,70893,ATAC. M21020 6MM POLIESTER COR 100,100CM,489148,90,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-100,,3,SKECHERS,135329,
2617,OK,DILLY NORDESTE,225,140554,196338-100,70893,ATAC. M21020 6MM POLIESTER COR 100,100CM,489148,78,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-100,,3,SKECHERS,135329,
2618,OK,DILLY NORDESTE,225,140554,196338-105,70893,ATAC. M21020 6MM POLIESTER COR 100,105CM,489148,4,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-105,,3,SKECHERS,135329,
2619,OK,DILLY NORDESTE,225,140554,196338-105,70893,ATAC. M21020 6MM POLIESTER COR 100,105CM,489148,186,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-105,,3,SKECHERS,135329,
2620,OK,DILLY NORDESTE,225,140554,196338-105,70893,ATAC. M21020 6MM POLIESTER COR 100,105CM,489148,174,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-105,,3,SKECHERS,135329,
2621,OK,DILLY NORDESTE,225,140554,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489148,3,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135329,
2622,OK,DILLY NORDESTE,225,140554,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489148,102,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135329,
2623,OK,DILLY NORDESTE,225,140554,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489148,102,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135329,
2624,OK,DILLY NORDESTE,225,140554,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489148,1,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135329,
2625,OK,DILLY NORDESTE,225,140554,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489148,24,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135329,
2626,OK,DILLY NORDESTE,225,140554,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489148,18,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135329,
2627,OK,DILLY NORDESTE,225,140555,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489149,3,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135328,
2628,OK,DILLY NORDESTE,225,140555,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489149,90,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135328,
2629,OK,DILLY NORDESTE,225,140555,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489149,90,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135328,
2630,OK,DILLY NORDESTE,225,140555,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489149,4,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135328,
2631,OK,DILLY NORDESTE,225,140555,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489149,180,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135328,
2632,OK,DILLY NORDESTE,225,140555,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489149,174,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135328,
2633,OK,DILLY NORDESTE,225,140555,196338-120,70893,ATAC. M21020 6MM POLIESTER COR 100,120CM,489149,3,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-120,,3,SKECHERS,135328,
2634,OK,DILLY NORDESTE,225,140555,196338-120,70893,ATAC. M21020 6MM POLIESTER COR 100,120CM,489149,120,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-120,,3,SKECHERS,135328,
2635,OK,DILLY NORDESTE,225,140555,196338-120,70893,ATAC. M21020 6MM POLIESTER COR 100,120CM,489149,114,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-120,,3,SKECHERS,135328,
2636,OK,DILLY NORDESTE,225,140555,196338-125,70893,ATAC. M21020 6MM POLIESTER COR 100,125CM,489149,2,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-125,,3,SKECHERS,135328,
2637,OK,DILLY NORDESTE,225,140555,196338-125,70893,ATAC. M21020 6MM POLIESTER COR 100,125CM,489149,42,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-125,,3,SKECHERS,135328,
2638,OK,DILLY NORDESTE,225,140555,196338-125,70893,ATAC. M21020 6MM POLIESTER COR 100,125CM,489149,30,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-125,,3,SKECHERS,135328,
2639,OK,DILLY NORDESTE,225,140556,196338-105,70893,ATAC. M21020 6MM POLIESTER COR 100,105CM,489150,3,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-105,,3,SKECHERS,135327,
2640,OK,DILLY NORDESTE,225,140556,196338-105,70893,ATAC. M21020 6MM POLIESTER COR 100,105CM,489150,96,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-105,,3,SKECHERS,135327,
2641,OK,DILLY NORDESTE,225,140556,196338-105,70893,ATAC. M21020 6MM POLIESTER COR 100,105CM,489150,90,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-105,,3,SKECHERS,135327,
2642,OK,DILLY NORDESTE,225,140556,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489150,4,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135327,
2643,OK,DILLY NORDESTE,225,140556,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489150,180,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135327,
2644,OK,DILLY NORDESTE,225,140556,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489150,174,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135327,
2645,OK,DILLY NORDESTE,225,140556,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489150,3,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135327,
2646,OK,DILLY NORDESTE,225,140556,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489150,120,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135327,
2647,OK,DILLY NORDESTE,225,140556,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489150,108,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135327,
2648,OK,DILLY NORDESTE,225,140556,196338-120,70893,ATAC. M21020 6MM POLIESTER COR 100,120CM,489150,2,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-120,,3,SKECHERS,135327,
2649,OK,DILLY NORDESTE,225,140556,196338-120,70893,ATAC. M21020 6MM POLIESTER COR 100,120CM,489150,36,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-120,,3,SKECHERS,135327,
2650,OK,DILLY NORDESTE,225,140556,196338-120,70893,ATAC. M21020 6MM POLIESTER COR 100,120CM,489150,24,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-120,,3,SKECHERS,135327,
2651,OK,DILLY NORDESTE,225,140557,196338-100,70893,ATAC. M21020 6MM POLIESTER COR 100,100CM,489151,3,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-100,,3,SKECHERS,135326,
2652,OK,DILLY NORDESTE,225,140557,196338-100,70893,ATAC. M21020 6MM POLIESTER COR 100,100CM,489151,150,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-100,,3,SKECHERS,135326,
2653,OK,DILLY NORDESTE,225,140557,196338-105,70893,ATAC. M21020 6MM POLIESTER COR 100,105CM,489151,4,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-105,,3,SKECHERS,135326,
2654,OK,DILLY NORDESTE,225,140557,196338-105,70893,ATAC. M21020 6MM POLIESTER COR 100,105CM,489151,306,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-105,,3,SKECHERS,135326,
2655,OK,DILLY NORDESTE,225,140557,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489151,3,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135326,
2656,OK,DILLY NORDESTE,225,140557,196338-110,70893,ATAC. M21020 6MM POLIESTER COR 100,110CM,489151,180,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-110,,3,SKECHERS,135326,
2657,OK,DILLY NORDESTE,225,140557,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489151,1,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135326,
2658,OK,DILLY NORDESTE,225,140557,196338-115,70893,ATAC. M21020 6MM POLIESTER COR 100,115CM,489151,24,,06/07/2026,29/07/2026,20,,29/07/26,#N/A,#N/A,#N/A,196338-115,,3,SKECHERS,135326,
490,OK,DASS ITAPIPOCA,2,139253,1370216,91368,FITA M31134 C/GOMA POLIESTER COR 100 / COR 765,12MM,15773271,2560,0,01/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1370216,,38,ADIDAS,134111,
491,OK,DASS ITAPIPOCA,2,139253,1370220,92401,FITA MFGP C/ GOMA POLIESTER COR 219,16MM,15773271,2200,0,01/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1370220,,38,ADIDAS,134111,
781,OK,DASS ITAPIPOCA,2,139593,1430151,76062,FITA MFGP POLIESTER COR 938,10MM,15811425,80,0,11/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1430151,,28,NEW BALANCE,134689,
782,OK,DASS ITAPIPOCA,2,139593,1430131,77940,FITA MFGP POLIESTER COR 4220,10MM,15811425,50,0,11/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1430131,,28,NEW BALANCE,134689,
783,OK,DASS ITAPIPOCA,2,139593,1190505,84045,FITA MFGP POLIESTER COR 4767,10MM,15811425,60,0,11/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1190505,,28,NEW BALANCE,134689,
784,OK,DASS ITAPIPOCA,2,139593,1430379,94470,FITA MFGP POLIESTER COR 4041,10MM,15811425,50,0,11/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1430379,,28,NEW BALANCE,134689,
785,OK,DASS ITAPIPOCA,2,139593,1417460,95084,FITA M31140 POLIESTER COR 6185 / COR 102,10MM,15811425,1430,0,11/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1417460,,28,NEW BALANCE,134689,
786,OK,DASS ITAPIPOCA,2,139594,1190505,84045,FITA MFGP POLIESTER COR 4767,10MM,15814230,150,0,11/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1190505,,28,NEW BALANCE,134690,
1383,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15874627,81,15870814ITA0360364,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1384,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15874627,80,15870817ITA0360364,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1385,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15874627,132,15870832ITA0360367,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1386,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15874627,130,15870835ITA0360367,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1387,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15874627,261,15870814ITA0360364,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1388,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15874627,314,15870817ITA0360364,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1389,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15874627,331,15870832ITA0360367,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1390,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15874627,348,15870835ITA0360367,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1391,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15874627,23,15870814ITA0360364,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1392,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15874627,10,15870832ITA0360367,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1393,OK,DASS ITAPIPOCA,2,140273,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15874627,28,15870835ITA0360367,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215467,,10,ADIDAS,135259,
1394,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,125CM,15874627,155,15870820ITA0360361,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1395,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,125CM,15874627,120,15870823ITA0360361,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1396,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,125CM,15874627,110,15870826ITA0360361,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1397,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,125CM,15874627,77,15870829ITA0360361,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1398,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,125CM,15874627,15,15870802ITA0360363,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1399,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15874627,351,15870820ITA0360361,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1400,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15874627,350,15870823ITA0360361,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1401,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15874627,340,15870826ITA0360361,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1402,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15874627,379,15870829ITA0360361,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1403,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15874627,112,15870802ITA0360363,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1404,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15874627,114,15870805ITA0360363,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1405,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,140CM,15874627,10,15870820ITA0360361,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1406,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,140CM,15874627,221,15870802ITA0360363,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1407,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,140CM,15874627,262,15870805ITA0360363,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1408,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,145CM,15874627,62,15870802ITA0360363,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1409,OK,DASS ITAPIPOCA,2,140273,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,145CM,15874627,72,15870805ITA0360363,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,1215468,,10,ADIDAS,135259,
1410,OK,DASS ITAPIPOCA,2,140274,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15875153,253,15870705ITA0360331,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,841052,,10,ADIDAS,135260,
1411,OK,DASS ITAPIPOCA,2,140274,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15875153,240,15870708ITA0360331,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,841052,,10,ADIDAS,135260,
1412,OK,DASS ITAPIPOCA,2,140274,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15875153,240,15870711ITA0360331,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,841052,,10,ADIDAS,135260,
1413,OK,DASS ITAPIPOCA,2,140274,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15875153,240,15870714ITA0360331,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,841052,,10,ADIDAS,135260,
1414,OK,DASS ITAPIPOCA,2,140274,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15875153,240,15870717ITA0360331,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,841052,,10,ADIDAS,135260,
1415,OK,DASS ITAPIPOCA,2,140274,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15875153,240,15870720ITA0360331,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,841052,,10,ADIDAS,135260,
1416,OK,DASS ITAPIPOCA,2,140274,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15875153,300,15870723ITA0360331,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,841052,,10,ADIDAS,135260,
1417,OK,DASS ITAPIPOCA,2,140274,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15875153,310,15870705ITA0360331,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,841052,,10,ADIDAS,135260,
1418,OK,DASS ITAPIPOCA,2,140274,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15875153,310,15870708ITA0360331,29/06/2026,03/08/2026,25,,03/08/26,#N/A,#N/A,#N/A,841052,,10,ADIDAS,135260,
